"","corr","p"
"AC005785.1",0.00825947910810362,0.43391544450818
"LINC01999",0.008256589703847,0.434076280306257
"FST",0.00825648235896311,0.434082256215383
"AL023583.1",0.00825372182778564,0.434235951814213
"IQCE",0.00825181033245471,0.434342394829348
"CTCF",0.00824979382303417,0.434454701964415
"FOXA3",0.0082484820406775,0.434527769151776
"DUS4L",0.0082456493365121,0.434685576943953
"MAST4-IT1",0.00824455337386837,0.434746641064731
"AC116366.2",0.00824350769433798,0.434804908160734
"AL121987.1",0.00824312957687643,0.43482597863808
"AC091488.1",0.0082427373593854,0.434847835457947
"AC113382.2",0.0082412558764916,0.434930398703017
"AC024475.3",0.00824049601696546,0.434972749288993
"LINC01729",0.0082387849263194,0.435068125224007
"LINC00588",0.00823793736679645,0.435115372533411
"CLDN18",0.0082361802964617,0.435213330065311
"KCNK17",0.00823432391591666,0.43531683801227
"STRC",0.00823177884895135,0.435458768772547
"ARHGEF7-AS2",0.00822353587987633,0.435918637646549
"AC006213.7",0.00822164532192756,0.436024149870095
"HOXA9",0.00822163254949841,0.436024862750671
"TTI1",0.00822011628949938,0.436109496085717
"NDUFAF7",0.00821886049005945,0.436179598418379
"MYOSLID",0.00821617997816962,0.436329254016548
"LINC01290",0.00821342419759218,0.436483142779527
"ALPI",0.00821296434168822,0.436508825174171
"OR2A1",0.00821169219191457,0.436579877731616
"AP003032.1",0.00821169219191457,0.436579877731616
"AC087897.2",0.00821169219191457,0.436579877731616
"AL139230.1",0.00821169219191457,0.436579877731616
"AL138930.1",0.00821155696085507,0.436587431096125
"MSI1",0.00820591859784776,0.436902430260493
"AC034154.1",0.00820559306930575,0.436920620601155
"AL450043.1",0.00820464482027003,0.436973610676598
"NSG2",0.00820464482027003,0.436973610676598
"LINC01605",0.00820464482027003,0.436973610676598
"NR5A1",0.00820464482027003,0.436973610676598
"ZNF451",0.00819973512045063,0.437248033810603
"PPP1R12B",0.00819822028283693,0.437332724278913
"AL133244.2",0.0081930083952694,0.437624178903145
"AC002398.2",0.00819266008495364,0.4376436607911
"ZNF723",0.00819190816441538,0.437685719333526
"AC108690.1",0.00818907524459877,0.437844199083958
"TICAM1",0.00818871765516463,0.437864205767184
"ZNF780B",0.00818849443625306,0.437876694853659
"NIBAN3",0.00818800193405203,0.437904251050827
"AC107918.6",0.00818412787094754,0.438121045154891
"AL021308.1",0.00818374308586809,0.438142581248663
"ZCCHC18",0.00818347079373949,0.438157821575355
"AC096536.3",0.00818263614350774,0.438204539265423
"AL161938.1",0.0081824079010737,0.438217315126557
"LINC00639",0.00818239462994341,0.438218057984133
"LINC01775",0.00817881331114952,0.438418550394714
"HES7",0.00817265956477978,0.438763177713483
"OR2B6",0.00816501174647766,0.439191694140915
"DDX52",0.00816491195505467,0.439197287161816
"ARHGEF28",0.00816437924532904,0.43922714469452
"LINC01305",0.00816334846901345,0.43928492137657
"FAM166C",0.00815810246495242,0.439579036008484
"CLEC2L",0.00815496937536329,0.43975474502476
"DPYS",0.00814669036991496,0.440219239696164
"FBXO24",0.00814415462278726,0.440361564385028
"POU4F1",0.00814414051383347,0.440362356356586
"AC092139.1",0.00814413943422398,0.440362416957854
"GPR162",0.00814133415592742,0.440519900619279
"AC009035.1",0.00813847929242983,0.440680201054863
"KCNK4",0.00813700767111719,0.440762845571966
"IGKV1-6",0.00813608015484956,0.440814938354747
"HIST1H2AH",0.00813390440601902,0.440937150391913
"YAP1",0.00813310581237016,0.440982012350125
"AC021192.1",0.00813221756487653,0.441031913792786
"ACTR6",0.00812821459381493,0.441256839486909
"SUCLG1",0.00812749104100633,0.4412975027036
"AC114763.2",0.0081235154605789,0.441520966134185
"HSPA14",0.00811806640376972,0.441827357448022
"RPUSD1",0.008117383939639,0.441865739833602
"AL132657.1",0.00811734359907302,0.441868008682403
"AC010325.1",0.00811617933057596,0.441933492768299
"VWDE",0.00811597099751336,0.441945211012179
"ZMAT2",0.00811408160819501,0.442051492828174
"OR4B1",0.00811408131783306,0.442051509162721
"SLC7A11-AS1",0.00811383788184179,0.442065203973483
"NDEL1",0.00811324157673708,0.442098750924376
"SPOP",0.0081114973501327,0.44219688603971
"PRSS51",0.00811108039955173,0.442220346702595
"PAK5",0.0081061470388246,0.442497987399962
"AC010240.3",0.00810525937402594,0.442547954163695
"MRAP2",0.0081013798484165,0.442766371013853
"AL592148.3",0.0081009542627263,0.442790335190434
"SEMA6C",0.00809628952201145,0.443053049272809
"AL442003.1",0.00809579510655126,0.443080899535782
"LINC00570",0.00809436981752495,0.443161191204802
"LINC02388",0.00809436981752495,0.443161191204802
"PCID2",0.00809328065629166,0.443222553187463
"EVPLL",0.00808837243986903,0.443499136193364
"AC005828.2",0.00808738140515219,0.443554993971571
"PRG2",0.00808311913216855,0.44379527464286
"AGBL4",0.0080822357105328,0.443845085804898
"REG1B",0.00808199260328242,0.443858793811267
"LINC02843",0.0080797818427191,0.443983462313338
"AC012066.2",0.00807746838254572,0.444113943620188
"AC122719.3",0.00807548205828887,0.444225991618393
"AC012613.2",0.00807548205828887,0.444225991618393
"Z93020.1",0.00807548205828887,0.444225991618393
