"","final_annotation","total","passing","percent"
"1","LOH0. TAL",40237,629,1.56323781594055
"2","LOH1. DTL/ATL",30904,25328,81.9570282164121
"3","LOH2. C-TAL",22285,484,2.17186448283599
"4","LOH3. Low Quality",8765,75,0.855675984027382
"5","LOH4. Macula Densa",6252,4070,65.0991682661548
