"","final_annotation","total","passing","percent"
"1","LOH0. TAL",40237,137,0.340482640355891
"2","LOH1. DTL/ATL",30904,14933,48.3206057468289
"3","LOH2. C-TAL",22285,113,0.50706753421584
"4","LOH3. Low Quality",8765,15,0.171135196805476
"5","LOH4. Macula Densa",6252,1231,19.6896992962252
