"gene","cor","pval","FDR"
"SPP1",0.383445454601959,0,0
"APOE",0.381188119390257,0,0
"CD9",0.370591762993082,0,0
"FABP5",0.37012896160982,0,0
"CD81",0.353989185051303,0,0
"CD63",0.346056255438171,0,0
"GPX3",0.340574995412107,0,0
"CTSL",0.339101142401793,0,0
"CSTB",0.338357265538486,0,0
"FXYD2",0.33212455010229,0,0
"YBX1",0.327367941423531,0,0
"FTL",0.324504570208538,0,0
"NPC2",0.321944471370061,0,0
"LIPA",0.318189875185648,0,0
"MT-ND6",0.317760518359435,0,0
"HSPB1",0.315835209552898,0,0
"C1QA",0.314722864304465,0,0
"MSR1",0.307315964349316,0,0
"HLA-DPA1",0.302931390701216,0,0
"PRDX1",0.299926369566839,0,0
"HLA-DRB1",0.29838544020733,0,0
"ATP1B1",0.294337075668125,0,0
"DAB2",0.292647986547665,0,0
"HLA-DPB1",0.290188266871082,0,0
"FTH1",0.286202148705776,0,0
"ACP5",0.284520499686867,0,0
"RPL15",0.282910404735387,0,0
"RPS5",0.281260972632495,0,0
"HLA-DRA",0.279241858478184,0,0
"FCER1G",0.271817293537992,0,0
"CALR",0.270974806394325,0,0
"CD74",0.270730127883343,0,0
"MT-ATP8",0.270074942523791,0,0
"RHOC",0.268716924344231,0,0
"VSIG4",0.268557999935508,0,0
"CTSB",0.268280435812843,0,0
"HSPA8",0.264386818935291,0,0
"DYNLL1",0.263745084552652,0,0
"MGST3",0.26302853774642,0,0
"FCGR3A",0.26244182332874,0,0
"RPS27L",0.261794212231678,0,0
"RAB13",0.261565840782116,0,0
"RPS27",0.258674406473248,0,0
"PPIA",0.258644743983623,0,0
"PTMS",0.258118822340738,0,0
"HSPE1",0.256505128115482,0,0
"LGALS3",0.255645608516385,0,0
"S100A11",0.255093255332167,0,0
"RPS2",0.253780702512705,0,0
"ATP6V1F",0.253327789452041,0,0
"RPL10",0.248171589476765,0,0
"MS4A4A",0.248160498486335,0,0
"GSN",0.247087081489319,0,0
"IFI30",0.243614910433848,0,0
"PEBP1",0.242706217609286,0,0
"GPX4",0.24116787996069,0,0
"RPL35",0.240818622585925,0,0
