"gene","cor","pval","FDR"
"AHNAK",0.285963980382029,1.43146151290626e-142,7.06456498763879e-141
"S100A4",0.27693812804877,1.76682093484916e-133,8.36613588609654e-132
"MAF",0.258601465526573,4.8010179169655e-116,2.1847749066295e-114
"CD2",0.258395111964882,7.40888443410566e-116,3.32829885347516e-114
"SYNE2",0.257417145019385,5.75964920506209e-115,2.55465959677691e-113
"MALAT1",0.236036166483734,1.9148240013919e-96,7.98755154866337e-95
"HLA-A",0.235161593614005,1.00350396659295e-95,4.13679752816672e-94
"B2M",0.218016166436045,3.23228808257116e-82,1.21784273562681e-80
"MACF1",0.216683588616346,3.25366728985944e-81,1.21285640251782e-79
"NEAT1",0.213344844560584,9.89799806728576e-79,3.6127692945593e-77
"ITGB1",0.207966324508755,8.08305182993203e-75,2.9198983105239e-73
"MYO1F",0.203476647316904,1.23090994131784e-71,4.40113105548748e-70
"RORA",0.198551718745996,3.12771224184479e-68,1.09595036954241e-66
"FLNA",0.197676186758129,1.23353886027418e-67,4.27952491722845e-66
"PTPRC",0.185757439721783,8.38247747769591e-60,2.74506552166789e-58
"KLRB1",0.185271776546592,1.70414738395518e-59,5.52901151238792e-58
"IFI44",0.184663122451038,4.13488824139931e-59,1.3171498543512e-57
"ACTN4",0.181110276133142,6.86596888967499e-57,2.11038201661589e-55
"RNF213",0.179690217307248,5.14436064006966e-56,1.56746432024383e-54
"IFI44L",0.177979581982659,5.69186451434625e-55,1.70464044942472e-53
"CRIP1",0.170564433894385,1.44081264763305e-50,4.17240290686464e-49
"NIBAN1",0.169797180776585,4.00839477808745e-50,1.15126354937856e-48
"S100A11",0.163524300352631,1.4361725847189e-46,3.99392756893257e-45
"IL2RG",0.160454574155804,7.00732594766734e-45,1.90338528066871e-43
"TNFRSF4",0.159312568898165,2.9183440952477e-44,7.74687705283935e-43
"ITGAL",0.156967613903568,5.2835118221591e-43,1.39198687404853e-41
"CD4",0.155135426875226,4.92235378600141e-42,1.28715878105589e-40
"RESF1",0.154326156498855,1.30774591627558e-41,3.39432717824418e-40
"KLF6",0.153985431717775,1.97014078535107e-41,5.07600978813981e-40
"GPRIN3",0.153915862370014,2.14183429868689e-41,5.47809297999918e-40
"AC004687.1",0.153198304829303,5.05922443643896e-41,1.27536132555987e-39
"DDX17",0.151687453647078,3.04907306694042e-40,7.41941112955501e-39
"AKNA",0.151135084232784,5.8528582890986e-40,1.41437347896562e-38
"NKTR",0.150099831334,1.97361296433495e-39,4.73667111440389e-38
"XAF1",0.149815633338625,2.75120379159207e-39,6.55797148689701e-38
"ALOX5AP",0.149000728343557,7.10568633009539e-39,1.68231925004421e-37
"EML4",0.147631070171938,3.45927302698107e-38,8.08086179102777e-37
"HLA-B",0.145882877439488,2.55160878656474e-37,5.92108423054494e-36
"PARP14",0.145869811253719,2.58976394715729e-37,5.97008741502575e-36
"TYMP",0.145270125338795,5.11057018894767e-37,1.17042078052762e-35
"TNFRSF25",0.14522355560237,5.38693717536238e-37,1.22570310795258e-35
"PLEC",0.145074126227212,6.37797108232983e-37,1.44183294661185e-35
"ACTB",0.144774788476896,8.94056179830073e-37,2.00818772700293e-35
"ANXA2",0.144354851114343,1.43422527283254e-36,3.20097156433453e-35
"PTPN7",0.144261705708332,1.59243150189192e-36,3.53156960925904e-35
"MYH9",0.142651204155811,9.61633934113534e-36,2.07828645757483e-34
"ITGA4",0.142646393675516,9.66782798472309e-36,2.07828645757483e-34
"SRGN",0.14251629709665,1.11690955653815e-35,2.3863726134815e-34
"ARAP2",0.1424582044585,1.1912196687132e-35,2.52971740555821e-34
"SLAMF1",0.142296722827211,1.42458989266181e-35,3.00708613487167e-34
"SETX",0.141541704748725,3.27921183589173e-35,6.83949897200275e-34
"LCP1",0.140663021643307,8.60322145857153e-35,1.77327576416674e-33
"IL32",0.140418794245996,1.12360782191377e-34,2.30241041402681e-33
"TNFRSF1B",0.139876895929422,2.02841467284667e-34,4.13230524049694e-33
"ANXA1",0.139596773793375,2.75024245460178e-34,5.57043327221078e-33
"LGALS1",0.138896441535436,5.87122803671621e-34,1.17558760232306e-32
"PBXIP1",0.13826000570991,1.16563631591068e-33,2.32067593804036e-32
"GBP5",0.137893477193026,1.72763309075423e-33,3.40091367977687e-32
"RBL2",0.13737416884808,3.01144539057703e-33,5.89503052993403e-32
"CD40LG",0.136962127877564,4.67290705165728e-33,9.04633497735199e-32
"PCSK7",0.13582816167367,1.55483529523828e-32,2.99348509588732e-31
"UTRN",0.135442635883226,2.33439661955031e-32,4.44550312766537e-31
"RNF19A",0.135428281150011,2.36993371216192e-32,4.48878255535966e-31
"SAMD9L",0.135353865404324,2.56295069323636e-32,4.82826840274204e-31
"SPOCK2",0.135178024557188,3.08328880312599e-32,5.77745666639224e-31
"CD82",0.134453384879212,6.5871330125319e-32,1.22123354899004e-30
"SP100",0.132744686210577,3.88073378741983e-31,7.04564310420678e-30
"PHACTR2",0.132473443936556,5.1316147952196e-31,9.22111704740999e-30
"KIAA1109",0.132213802985486,6.70142205938918e-31,1.19196867492892e-29
"CLIC1",0.132166552073298,7.0345525712531e-31,1.24490263685206e-29
"TRIM22",0.132016998816686,8.20110987140075e-31,1.44405472308484e-29
"MSN",0.131663028650469,1.17837512919344e-30,2.06451322634691e-29
"OGA",0.131619008584752,1.23261992476985e-30,2.14880607780774e-29
"PHTF2",0.131551987509631,1.32000266563946e-30,2.28974719821816e-29
"EMB",0.130365158679514,4.41325295035139e-30,7.50681472719964e-29
"IQGAP1",0.129834252852304,7.54526778135356e-30,1.2772279374813e-28
"MYO1G",0.129673097544074,8.87532125014102e-30,1.49515027213914e-28
"DIAPH1",0.129287006710094,1.30841451808731e-29,2.18318308160854e-28
"IFI16",0.128730944627554,2.28356654535662e-29,3.79223562792872e-28
"BIRC3",0.127690358444027,6.43253121606548e-29,1.05819668455838e-27
"KMT2A",0.127593880532136,7.07772926590358e-29,1.1588954835386e-27
