name,pValue
None,0.13828861711382887
SiteFirstBiopsy,0.16222837771622284
SiteFBChron,0.34832651673483267
SiteFBChron_Pred,0.7469125308746912
SiteFBChron_Race,0.2924070759292407
SiteFBChron_Activity,0.6625633743662563
