1.378903937661780099e-01,5.110889008620690399e-01,1.670400000000000000e+04
1.392692977038397784e-01,5.056309304891504208e-01,1.631400000000000000e+04
1.406482016415015468e-01,5.009581290079214710e-01,1.590600000000000000e+04
1.420271055791633152e-01,4.957060869565217409e-01,1.552500000000000000e+04
1.434060095168250837e-01,4.902208588957055468e-01,1.515900000000000000e+04
1.447849134544868521e-01,4.854471209148115141e-01,1.477700000000000000e+04
1.461638173921486206e-01,4.803763269270797109e-01,1.441300000000000000e+04
1.475427213298103890e-01,4.739642426392338126e-01,1.409500000000000000e+04
1.489216252674721575e-01,4.688154774892719923e-01,1.374900000000000000e+04
1.503005292051339259e-01,4.630802919708029153e-01,1.342600000000000000e+04
1.516794331427956943e-01,4.574377050431067682e-01,1.310600000000000000e+04
1.530583370804574628e-01,4.522076032540676138e-01,1.278400000000000000e+04
1.544372410181192312e-01,4.474008028904054024e-01,1.245400000000000000e+04
1.558161449557809997e-01,4.435390715347761748e-01,1.210600000000000000e+04
1.571950488934427681e-01,4.377498730749703748e-01,1.181800000000000000e+04
1.585739528311045365e-01,4.322072493929933756e-01,1.153200000000000000e+04
1.599528567687663050e-01,4.259088811995386803e-01,1.127100000000000000e+04
1.613317607064280734e-01,4.208213765477057944e-01,1.098400000000000000e+04
1.627106646440898419e-01,4.151250932835821583e-01,1.072000000000000000e+04
1.640895685817516103e-01,4.098265237776289593e-01,1.045000000000000000e+04
1.654684725194133788e-01,4.046341056351854815e-01,1.018600000000000000e+04
1.668473764570751472e-01,4.003607914395316270e-01,9.906000000000000000e+03
1.682262803947369156e-01,3.948388365593624161e-01,9.660000000000000000e+03
1.696051843323986841e-01,3.904505693306374314e-01,9.397000000000000000e+03
1.709840882700604525e-01,3.852197838191942503e-01,9.159000000000000000e+03
1.723629922077222210e-01,3.794842753217682607e-01,8.935000000000000000e+03
1.737418961453839894e-01,3.749075224292615638e-01,8.694000000000000000e+03
1.751208000830457578e-01,3.694920953279848819e-01,8.476000000000000000e+03
1.764997040207075263e-01,3.642546313112967615e-01,8.258000000000000000e+03
1.778786079583692947e-01,3.587054369414101052e-01,8.056000000000000000e+03
1.792575118960310632e-01,3.537845486996430422e-01,7.843000000000000000e+03
1.806364158336928316e-01,3.474671275763109857e-01,7.666000000000000000e+03
1.820153197713546001e-01,3.427579088471849889e-01,7.460000000000000000e+03
1.833942237090163685e-01,3.369264140582097777e-01,7.283000000000000000e+03
1.847731276466781369e-01,3.313260166033488163e-01,7.107000000000000000e+03
1.861520315843399054e-01,3.254285508498992452e-01,6.942000000000000000e+03
1.875309355220016738e-01,3.202420928170263137e-01,6.765000000000000000e+03
1.889098394596634423e-01,3.142255820985788151e-01,6.614000000000000000e+03
1.902887433973252107e-01,3.084524067481814180e-01,6.461000000000000000e+03
1.916676473349869791e-01,3.029616299349928710e-01,6.307000000000000000e+03
1.930465512726487476e-01,2.969956211482322472e-01,6.166000000000000000e+03
1.944254552103105160e-01,2.920937083888148766e-01,6.008000000000000000e+03
1.958043591479722845e-01,2.863669959128065656e-01,5.871000000000000000e+03
1.971832630856340529e-01,2.802392552636158163e-01,5.747000000000000000e+03
1.985621670232958214e-01,2.745612317550729653e-01,5.618000000000000000e+03
1.999410709609575898e-01,2.696495710896149034e-01,5.478000000000000000e+03
2.013199748986193582e-01,2.639360193993657844e-01,5.361000000000000000e+03
2.026988788362811267e-01,2.592564102564102746e-01,5.226000000000000000e+03
2.040777827739428951e-01,2.531181179226864586e-01,5.122000000000000000e+03
2.054566867116046636e-01,2.468331012532325452e-01,5.027000000000000000e+03
2.068355906492664320e-01,2.410859057676685568e-01,4.924000000000000000e+03
2.082144945869282004e-01,2.364088259783513613e-01,4.804000000000000000e+03
2.095933985245899689e-01,2.315069252077562312e-01,4.693000000000000000e+03
2.109723024622517373e-01,2.262617025908991719e-01,4.593000000000000000e+03
2.123512063999135058e-01,2.216970778496542560e-01,4.483000000000000000e+03
2.137301103375752742e-01,2.166588369441276862e-01,4.385000000000000000e+03
2.151090142752370427e-01,2.110248548199767926e-01,4.305000000000000000e+03
2.164879182128988111e-01,2.053176442762535414e-01,4.228000000000000000e+03
2.178668221505605795e-01,1.994913419913419694e-01,4.158000000000000000e+03
2.192457260882223480e-01,1.943168219715546985e-01,4.078000000000000000e+03
2.206246300258841164e-01,1.893575181386039641e-01,3.997000000000000000e+03
2.220035339635458849e-01,1.849733879222108524e-01,3.908000000000000000e+03
2.233824379012076533e-01,1.796385636221701776e-01,3.843000000000000000e+03
2.247613418388694217e-01,1.750735723771580377e-01,3.765000000000000000e+03
2.261402457765311902e-01,1.705387744034707054e-01,3.688000000000000000e+03
2.275191497141929586e-01,1.658148659850787465e-01,3.619000000000000000e+03
