"gene","cor","pval","FDR"
"AHNAK",0.382041676747431,0,0
"S100A4",0.312889294457789,0,0
"SYNE2",0.302348790838211,0,0
"ITGB1",0.293960015471492,0,0
"RORA",0.270189321167085,0,0
"MAF",0.269365217582022,0,0
"MYO1F",0.268709719162813,0,0
"NEAT1",0.265223801073974,0,0
"MALAT1",0.264154284357539,0,0
"ANXA1",0.234411586605524,1.10240727084401e-299,5.12809451161576e-298
"ANXA2",0.232731967235168,2.57666936751645e-295,1.18835110317254e-293
"MACF1",0.231566470234357,2.64233929682494e-292,1.19815654165272e-290
"FLNA",0.223181015686752,3.90161276600164e-271,1.72566413814302e-269
"NIBAN1",0.2203204699726,4.12685355778501e-264,1.81044730063479e-262
"CRIP1",0.216083221249731,6.88075935139004e-254,2.9235100362284e-252
"PRDM1",0.215197761974074,8.83554447085021e-252,3.72473421599279e-250
"RNF213",0.208635767079635,1.89637461244226e-236,7.93243209979724e-235
"KLF6",0.208579518503885,2.55333179328025e-236,1.05982910434925e-234
"IL10RA",0.207947551603265,7.17637882272541e-235,2.93361667632018e-233
"S100A11",0.204752810696268,1.27869655830517e-227,5.11099750267754e-226
"MT-CO1",0.20028871457638,1.08323175389308e-217,4.29788128235812e-216
"ADAM19",0.199373476725795,1.09879697195582e-215,4.29645540628524e-214
"LGALS1",0.196070525561934,1.57935544713048e-208,6.00155069909583e-207
"ACTN4",0.191920995485515,1.01888362415253e-199,3.81798335828267e-198
"PREX1",0.18969389035975,4.49673374131368e-195,1.65063777334208e-193
"TNFRSF4",0.188664897331745,6.01578401224688e-193,2.17860204899894e-191
"MT-CO2",0.184524285877226,1.62440235423089e-184,5.72893797609796e-183
"NKTR",0.183348855359935,3.69621829376339e-182,1.2951164878667e-180
"CCR6",0.182861286169483,3.47337964463336e-181,1.20918429435107e-179
"MT-ND1",0.180409094065482,2.46878915551444e-176,8.48508680455792e-175
"S100A10",0.177978573940076,1.35689130076908e-171,4.57611591184371e-170
"ARAP2",0.177557695598755,8.83913084928601e-171,2.96248137035698e-169
"CAST",0.176606965289671,5.98866746299579e-169,1.99474380434107e-167
"MT-ATP6",0.17420780655165,2.24528888360294e-164,7.43287043921561e-163
"GPRIN3",0.17407444610712,4.01397618625288e-164,1.3206960671354e-162
"MIAT",0.174071551454117,4.06489068019089e-164,1.32934243092788e-162
"ERN1",0.174053219605455,4.40264828050797e-164,1.43112591094103e-162
"CD2",0.172090187451537,2.15471548332898e-160,6.8393204400254e-159
"RNF19A",0.171638400501822,1.50068340411941e-159,4.73548985299903e-158
"EML4",0.170600301256799,1.27113788691465e-157,3.96477458831875e-156
"MT-CYB",0.169703468602303,5.75161657693471e-156,1.78366224420343e-154
"MT-ND2",0.169013955057721,1.062668449212e-154,3.27666225825598e-153
"IFI44L",0.168011012266415,7.22842569554884e-153,2.2161696052944e-151
"MYBL1",0.164600254006844,1.01245681991132e-146,3.0351205556897e-145
"ATXN1",0.164446193117552,1.90487681735217e-146,5.67884823559795e-145
"KLRB1",0.162720696701286,2.16626380793292e-143,6.31846459870596e-142
"PAG1",0.161160337375183,1.17470208069742e-140,3.40789915453939e-139
"PIEZO1",0.159970353683494,1.3694359653542e-138,3.90977590955092e-137
"IFI44",0.15962243832732,5.46664347787414e-138,1.53635459409421e-136
"GLIPR1",0.159074093047197,4.81331898679387e-137,1.34573415817304e-135
