"UMAP_1","UMAP_2"
5.34792171347279,-2.470896059684
-4.68997921120983,-1.55641346614762
3.47308312285084,-0.326125139407353
-6.26148952615123,-2.71368151348038
-4.76494135033947,0.863119890876575
-1.4298852838264,1.48593283254699
-2.70400323045116,0.617704164199991
-0.166364238380008,-3.55352883975907
-7.7557069219337,0.286882286854549
-2.60851492059093,-1.01109462421341
-1.60372461449962,2.83664626438217
-6.85969509255748,-0.195077473334508
-5.83078445565563,-0.622484499625401
-4.8378979123817,0.431703453846736
-4.76994766366344,1.76091462928848
-4.86468996178966,-1.1725572888176
-2.64338125359874,0.352204268761439
-2.0321346677528,1.33600301105575
-2.6286705888496,0.515305822678371
-6.32201017510753,-2.40619354885026
-6.44658817422252,-1.70835476558609
0.144530571283288,-3.66151862781449
-5.07937158715587,0.812002098151012
5.9253495775475,-0.780672961882787
7.79949985373158,-2.1164608542244
-0.25172661316257,-3.65336900394364
-6.78106512200695,-1.1142590586464
-2.8342460550056,-0.596708113364415
-3.94364227425914,-2.12000756900712
-6.14751924645763,-0.602795416526036
-3.3174539960609,0.432311600037379
-4.01366867196422,-2.64941387813492
-2.54540576112133,3.00178427059249
-4.20264019143444,3.05491346675949
-3.64344967973094,-2.23020034473343
-3.85848297250133,-2.0567057673256
-4.88098158013683,-2.16746788661881
-4.24943555962902,2.44302970726089
-7.19821800362926,-0.677347118071752
7.59667621481556,0.970474576540752
-7.20806039941173,1.63570988733367
-3.50727094781261,2.31702370006637
6.54456745016713,-0.590116316489415
-7.09448923241954,2.0906353648384
-4.85072006356578,-2.11331515949173
-4.29050172936779,-1.64504414241715
-5.97377027642589,-1.51420908611222
-4.47254909646373,0.617763664536638
6.43224655020375,-2.84398561160965
-4.3461839116798,-0.286204690150456
-3.09498561990123,-2.18217068355484
-6.90534891259532,1.45093113739089
-5.23863567483287,-2.59985619228287
-3.02798833024364,-0.952939683608251
-2.94620646607738,-1.0184144322197
6.85317645895619,3.00472158748703
-5.34464992654186,-0.70290272872849
-3.86669029366832,1.09859851557807
5.62962518561024,-1.99437194507523
-4.35738290917736,2.20300072986679
-3.02597130906444,3.64552873928146
-1.94862236153942,1.79676932651596
7.85317073691029,-2.61868148487015
-2.9085492051826,4.38333744365768
-4.2698956884132,-1.28312831561966
-5.90711082589489,-2.26881557147904
3.76674924719471,-1.66058116596146
7.63232360708851,2.0993834193428
-2.38663615357738,-0.886560494116979
-4.84396471154552,-1.60732131641312
-5.71414198052745,-1.10621195476456
-3.9980017102943,0.982688223906322
-3.10100664269786,-0.336195344142156
-5.40618099343639,0.122879331894679
-4.32969535958629,-2.58616476695939
-4.3729902662025,-1.88988714855118
-4.74647487771373,-2.65854483287735
8.11669383871693,-0.249166900328832
-5.07070554864269,0.408435231037898
-6.62872709405284,-1.26153951328202
-7.46163858544689,-0.512983614615636
7.31720147955555,0.759902289100452
-7.52592863213878,-0.637597138098912
-6.3464371122108,-1.35653358142777
-4.86831678521495,0.770358910747333
-4.58207763802867,0.00868583280639179
-3.47043027055126,-0.685462052039342
-6.97902645242076,-1.20877330940171
-3.24654616486888,-0.0883595291893052
-6.77870859277111,1.33349127132492
5.82180486548085,-1.81813316982193
-7.40938963067394,0.718235803731246
6.80764852392811,-3.01127010028763
-4.23505510461193,-2.01441698711319
-4.97618545663219,2.531292146035
-6.55166401040416,-1.8614092413704
-6.30997528207164,0.798412447758479
-2.44880308282238,3.22776765186386
-2.92326940667491,-1.46082144420548
-7.43140806329113,0.459988942333026
-7.03333868157726,-1.54268890064164
-4.6365982450233,-1.3172882143776
-3.57124985825878,-0.669133359603124
-3.29819001328807,-1.45070129077836
-4.59327425134044,-2.51785641353531
-3.67603029382091,-0.355752402953343
-2.39757312905651,2.4828552659233
-5.8888708509193,-0.126916283778386
-3.28270496499401,-0.0740262810508775
8.03357778418202,2.30529755909042
-5.7591887868629,-2.84562783878251
-5.85551418435436,0.375005578585429
8.38759027350087,-1.50936346691056
-6.07719053399425,0.282912706919475
-6.40943302285533,-1.85036116283341
-3.70484937798839,3.51512379009323
-3.2062958635078,-0.213897163085179
8.52843175757069,-1.18051605861588
-7.3639570630775,-0.832466775588231
1.20914910662312,-3.01706844013138
-6.8470908559547,1.32311010915832
5.24399457800526,-0.361223990134435
-5.19260181557994,-1.35728030841752
-2.1851674474464,1.78837651569442
-4.30887188088756,-0.439921671561437
-4.89374937188488,3.01393718082504
-3.62536396157604,-2.41796689670487
-6.16716112267833,0.165525233336253
-5.87398733270031,1.34724909622268
-5.14466728341442,0.410825869031711
-7.01095832955699,-0.0532215182106065
-5.48707975518566,-0.0602667276184129
-2.60977162492137,3.63693827945785
-4.08984769952159,-1.90472393672867
0.392060323835797,1.08102605301933
-3.46201075684886,2.08229083377914
-3.32815565240245,0.0617160852630568
-7.16014637124401,-1.67903762500687
-4.89358629357677,-0.876395875624852
6.67093835699696,3.60397142726974
-7.01503671777111,1.0876455064495
7.74777589666981,-2.69291978519364
-3.78552450311046,-2.22102885883255
-2.9719687856422,3.371220296212
-4.15285219323497,-1.56959014575882
-5.2696343816505,1.07387984354095
-5.22205700051647,-1.88198786418839
-6.16496671807628,-0.853084141425328
-4.92520012032848,-0.34301286380692
5.00463758337636,0.0323125775535537
-5.96225704324108,-0.475115114859776
-3.23499645364147,0.0538199003417922
-7.33906902444225,1.09856933910446
3.42528878080983,-0.495405966452794
-4.34950174462657,0.536748571284576
-2.43852461945873,-1.42228942554398
-6.21599115502697,1.46687502224044
-6.47646726739269,-0.468324238471227
-6.0938006795631,1.83517283756332
7.5642074190392,-2.53144555728837
-5.74084962975841,1.37311077673034
-2.44731439721447,0.596398720480962
