"hPC1","hPC2","hPC3","hPC4","hPC5","hPC6","hPC7","hPC8","hPC9","hPC10","hPC11","hPC12","hPC13","hPC14","hPC15","hPC16","hPC17","hPC18","hPC19","hPC20"
-6.16160207603405,-9.93932716240471,-2.50543932712335,2.53055940718106,-1.32011708060757,1.21002227491455,2.2533870343232,-3.87344379241891,-0.820065958087303,5.4332362742283,-1.951284646673,-0.174431843068548,0.253691466376791,-0.96038668214944,1.77929602471849,-1.2523592689306,3.37800050281515,0.116538258847829,-1.02510745349733,1.42531232729133
-6.55470696579184,-9.35934462564659,-2.57084608376566,-0.2830753783406,-1.56244131308042,-1.66295795241593,-0.414691059451082,-1.82702081904213,-0.131715700699497,3.93408034695328,-1.15040859369988,1.24219599164112,-0.708668616965732,-0.622833449592544,2.14792020395426,-1.12215586630087,-0.327202812198022,-2.20225470649929,0.176171765834846,0.275369043290436
-0.957149521527463,5.14539538230368,7.00959910464384,2.11724463788635,-5.87189307372532,-0.400011238423835,-2.87677969426457,4.17134961960935,2.41703795665863,-0.0232704854101962,-1.59427806552951,-0.099137191274619,-2.29427961716954,0.187311361694537,1.72678693660735,1.24603043098105,0.176032277928392,0.911889739183143,-2.15491622699803,1.80386982404839
5.32445590388076,4.04220679336911,2.98990913805941,10.0782868172065,1.39269197969807,-1.04508480479424,0.395692285882689,0.703918504300777,0.405213185951197,-3.25648754475908,1.4247309666902,4.07275967974212,-1.95072688352459,-1.29884345812277,2.74837766277032,-3.39838119761496,2.37360180088204,0.0408696888135621,-1.83968931440199,-0.916761250453281
-6.81588183711701,-11.4761073733065,0.0553991749221458,-0.445227584969411,-1.37017040548987,-0.872078185585329,-2.34365464612062,-2.36934910672373,2.06542536884129,2.57753079204395,-0.0615177323986942,1.47165577637491,-2.26142418866902,0.233137688220054,-1.25632167040584,2.28137082420998,0.909922988021138,-0.0355809518751616,0.184649483403428,-0.538668088275691
-3.9240238718476,-0.482572156726736,8.81216520833731,-0.442783157741144,-3.8404802100664,2.56185062599025,-0.508611401603556,-1.38087811373487,-2.89324106217668,3.36605633523399,3.76509712598222,3.46210426349501,-3.70688472106778,-0.112626980760234,-0.332699102629901,3.56449848151551,-5.54641337585588,-1.33850492319477,-2.47029589370602,-0.841114729895124
-1.58670512745129,-2.33659417051915,3.37931348120587,3.23963421415135,-1.31401733729161,1.09022087371683,-1.2253888428221,-3.79247655077542,-1.62912178206848,4.06149338886231,-1.38387660524462,1.58413258415208,-0.0625227365199745,1.5444638803222,-0.51500793582426,2.29705276434657,-3.63248258109781,-0.0795713094974614,-2.66232817858777,-0.306947024454301
-3.51928697319218,-13.2721778785937,-3.07961623631631,-0.498733837747921,0.553408431822463,-1.9370339075494,-4.4235630287127,3.31663589079624,1.99424258060234,0.669114021342949,-0.91865851353306,3.30130972818333,1.13882549049766,-1.0325679379529,1.15989301439567,-2.40793411782404,1.01622765199139,2.82469708984166,-0.131448614688168,-2.39118516924855
6.55765827301722,0.690477858115196,7.3877456792774,-4.93170930921954,-1.18970970442667,0.529158745767763,-1.10586647629217,-1.12570311599249,-3.14311019249212,3.32653329084897,9.8730084017033,-4.08987736394571,0.538668784742864,1.07229783685849,-2.68090580053558,-5.04369616170215,6.66449486582405,-2.0793178737811,-0.628647787416674,3.01997613314329
-0.445379596577484,0.493938116147197,8.97523472051882,-0.291696850296455,-2.1131606737758,3.33763601468068,0.759411908123572,-1.5543877278402,-0.842643584546326,2.16769025130681,1.8489783142736,4.18192327285084,-1.86036417647426,-2.0147534588941,0.612484802661506,-2.47974632532897,-3.99891842846703,-1.52816184543725,-0.160138920656104,-1.13705059950562
-1.30205529018957,2.77684674286345,8.00685095615245,2.20363911320263,-1.14893313847511,-0.127131084835712,-2.91944552393746,0.410738707633088,0.130920127642254,4.95202186375842,2.0542825186921,-0.533507126617307,-1.04577197014069,1.73019588065527,0.41511002342424,-1.28121081928329,-5.49262137239229,-0.250935293188433,-2.49812526264732,0.601648512603675
