"","corr","p"
"NPL",0.326226769959614,1.2297624687624e-221
"ARL6IP1",0.325938808930175,3.16079304173082e-221
"PDE4DIP",0.325364368812268,2.07157149260138e-220
"HSD3B7",0.324437252722033,4.26918197364305e-219
"PLA2G15",0.323731721740988,4.23866164893107e-218
"BHLHE41",0.32340098887303,1.24056407734877e-217
"TGFBI",0.323144094134464,2.85417148812409e-217
"AVPI1",0.322827703957236,7.95535452314889e-217
"CD109",0.322725317171592,1.10817614976074e-216
"RASGRP3",0.322363242643417,3.57447157965526e-216
"SMS",0.322108733925199,8.13388253400904e-216
"ATP6V0B",0.322034404498554,1.03399794159136e-215
"SDSL",0.32161680514199,3.97659528669928e-215
"HSP90B1",0.321521406422304,5.40778337378544e-215
"SCD",0.321407458606034,7.80588894663654e-215
"CXCR4",0.321244029963616,1.32106346692737e-214
"RGS1",0.321159336621143,1.73493568655136e-214
"ABCA1",0.320835916636495,4.9080974542969e-214
"PKM",0.320796713251979,5.56697886227507e-214
"H2AFY",0.320498293580289,1.45137845703503e-213
"RDX",0.319605615324855,2.53413558586634e-212
"TSPAN4",0.318122087419243,2.87467660224239e-210
"ITGB5",0.31762664967346,1.3873627402539e-209
"CD14",0.317615282705046,1.43833084836108e-209
"ARHGAP10",0.317054691508127,8.5065652873769e-209
"DPP7",0.316870143567678,1.52580716581584e-208
"LILRB4",0.316800731634156,1.90060278772192e-208
"HOMER3",0.315971221570377,2.61156245585918e-207
"CLEC5A",0.31449061716597,2.74859937397972e-205
"TM6SF1",0.314060678546802,1.05719608363989e-204
"CRTAP",0.313276654769809,1.22608156874773e-203
"RHEB",0.313171652738977,1.70145693286373e-203
"AKR1A1",0.3130461569379,2.51663497296468e-203
"ATP13A3",0.312952325397641,3.37188168726076e-203
"TPP1",0.31267024339477,8.11980059482595e-203
"TNS1",0.312045943108188,5.65944050991001e-202
"TNS3",0.31190759152965,8.69690964879649e-202
"PHLDA1",0.311899143932224,8.92801226600234e-202
"CORO1C",0.31189838483664,8.94907693496711e-202
"RAB7B",0.310024225232305,2.94742226024498e-199
"ITGAV",0.309475454901926,1.59646529290789e-198
"CCDC88A",0.308930882188104,8.50570521740255e-198
"TUBB6",0.307979882414908,1.56601336961184e-196
"BCAP31",0.307950044164176,1.71558462428517e-196
"LIMS1",0.307576455326207,5.37080481993445e-196
"TFEC",0.307413589881992,8.82835980468465e-196
"IDH1",0.30671615909848,7.38932535271114e-195
"SLC3A2",0.306540876526369,1.25925117713174e-194
"DBNDD2",0.306068182723626,5.29220154573047e-194
"GAPDH",0.305560623996162,2.46524583526715e-193
"MARCO",0.304103345661544,2.00918620974269e-191
"ATP6V0A1",0.303589443159649,9.42678704596883e-191
"NENF",0.300440537966625,1.14357337660838e-186
"TSPAN32",-0.300547579831198,8.32291634888373e-187
"RPL28",-0.301791185410609,2.05504369196021e-188
"NBEAL2",-0.302675366279891,1.46255725525701e-189
"CEACAM3",-0.303856285703574,4.22610740851463e-191
"ADGRE1",-0.304850452410319,2.11151030737047e-192
"AC064805.1",-0.304863326241364,2.03099130477364e-192
"TMSB4X",-0.305077268272282,1.06409171318392e-192
"KLF4",-0.305666532734554,1.78869731190235e-193
"FGR",-0.306823982229567,5.32250682862689e-195
"BCL2A1",-0.306946247955289,3.6683324620245e-195
"LRRK2",-0.307219702485284,1.59460576146115e-195
"TMPO",-0.309155530951738,4.26755251264593e-198
"CD55",-0.310510149543167,6.58321538024753e-200
"BATF3",-0.311746982432653,1.43168899608393e-201
"GNG2",-0.312984295557002,3.05202790468292e-203
"RHOB",-0.313041515741102,2.5533226829606e-203
"CCDC88C",-0.313406775775238,8.1676177773143e-204
"RXRA",-0.313433325420254,7.5177391794211e-204
"ADGRE5",-0.314330296197667,4.5434316318174e-205
"DRAP1",-0.314842148211097,9.12089306202772e-206
"MIDN",-0.315130859392162,3.6820360259579e-206
"MNDA",-0.315583127766631,8.8731691666148e-207
"CHST2",-0.315928335645748,2.98976381706947e-207
"CASP5",-0.31656631634659,3.98892607264019e-208
"IL1B",-0.317478539776218,2.21971912779806e-209
"CKB",-0.318386163661579,1.24075582147076e-210
"C1orf162",-0.319817608379554,1.28603494802456e-212
