"gene","cor","pval","FDR"
"S100A4",0.556289894472996,0,0
"B2M",0.386137364064402,0,0
"AHNAK",0.382312395334107,0,0
"IL32",0.369005016067325,0,0
"SH3BGRL3",0.365787321590882,0,0
"CRIP1",0.363135861737037,0,0
"S100A11",0.352659621228092,0,0
"MAF",0.329356892298794,0,0
"CD2",0.32806062984537,0,0
"ITGB1",0.327896447551627,0,0
"S100A10",0.317315569684504,0,0
"LGALS1",0.31173920682767,0,0
"CLIC1",0.309339985753454,0,0
"ANXA2",0.304739778243442,0,0
"HLA-A",0.295996463919595,0,0
"S100A6",0.294861057468785,0,0
"CD52",0.290726245511673,0,0
"GZMA",0.283837052099772,0,0
"MYO1F",0.273407531656705,0,0
"ANXA1",0.273175834383022,0,0
"SYNE2",0.27271744097009,0,0
"ACTB",0.272256436356529,0,0
"CCL5",0.268690901839135,0,0
"CD99",0.264940981715052,0,0
"SRGN",0.26214769605956,3.98122049944043e-318,1.70643347273212e-316
"NIBAN1",0.261992945642773,9.69374583503776e-318,4.11942770584701e-316
"KLRB1",0.259944291999145,1.19728383906903e-312,4.9607460398759e-311
"CST7",0.255580251744798,5.92152688720097e-302,2.41326489206256e-300
"MT-CO1",0.253707067118978,1.99303367089186e-297,7.99142210618897e-296
"CYTOR",0.252496571992816,1.6028686814752e-294,6.37557046743574e-293
"ACTN4",0.246985308847507,1.71403550789974e-281,6.60634460874226e-280
"TMSB4X",0.243507275524635,1.94760019716061e-273,7.39196044296378e-272
"FLNA",0.243396205400128,3.5045419867782e-273,1.32004414835312e-271
"CKLF",0.237595972987649,4.8596123765493e-260,1.78977723971875e-258
"CYBA",0.236627964264876,7.00404889832166e-258,2.52348776249676e-256
"KLF6",0.235145676048489,1.35493843680395e-254,4.84658554517211e-253
"EMP3",0.2293291969539,6.40318999674446e-242,2.24201835660658e-240
"IL10RA",0.228364462818857,7.49100869524114e-240,2.60456610019153e-238
"PRDM1",0.226439549360934,9.38020642218484e-236,3.19441002267829e-234
"HLA-B",0.225406667274891,1.42938593040288e-233,4.8019640851102e-232
"GAPDH",0.223434913794427,1.95764636324356e-229,6.48894514536467e-228
"LINC00892",0.21394670179856,4.35277656366202e-210,1.38730801759792e-208
"PFN1",0.210185241178277,1.13334679006993e-202,3.52187515014231e-201
"ALOX5AP",0.207822402099113,4.35817706878364e-198,1.34589170099331e-196
"MYL6",0.202428468817283,7.85149720004263e-188,2.36591782294618e-186
"RORA",0.201832430127635,1.02395702037993e-186,3.04857144031678e-185
"CXCR3",0.200879165569986,6.11880312158294e-185,1.80015911955683e-183
"LGALS3",0.199394450312429,3.42993667454075e-182,9.91490996849804e-181
"TNFRSF4",0.198601319186974,9.8756274468184e-181,2.83824391130526e-179
"COTL1",0.192921345222399,1.82812536776433e-170,5.10642658905855e-169
"MT-ND5",0.192591229431281,7.06134453118896e-170,1.96139692788109e-168
"MALAT1",0.192386222989947,1.63231995079949e-169,4.50883044187503e-168
"MIAT",0.191590884702916,4.17554213522743e-168,1.14700527604148e-166
"GBP5",0.191319067325502,1.26022525623425e-167,3.44276921648169e-166
"ANXA5",0.188694648736123,4.95181200274447e-163,1.33806572161117e-161
"PREX1",0.188060831458384,6.22492503328392e-162,1.67299066299933e-160
"STOM",0.187583119700446,4.16983317643414e-161,1.11464572866831e-159
"HOPX",0.187540173329838,4.94612038865148e-161,1.31508612686498e-159
"JUND",0.186148558660075,1.22188591132571e-158,3.21440039741345e-157
"CTSC",0.185379577526569,2.51801335914368e-157,6.55474472338344e-156
"PYHIN1",0.185098504397627,7.58407664690545e-157,1.96395984835489e-155
"GZMK",0.184303932702147,1.69575151062844e-155,4.3685370522511e-154
"UBC",0.182966419606145,3.06856226035656e-153,7.8643770920066e-152
"IFI27",0.182917870766159,3.70296918500408e-153,9.4416219424822e-152
"APOBEC3G",0.182383375692027,2.92119124038305e-152,7.37267149603277e-151
"TNFRSF1B",0.18079755517696,1.28969435900187e-149,3.2222916346519e-148
"EZR",0.180534090581775,3.52798180033838e-149,8.77056275564121e-148
"NEAT1",0.179273925056175,4.25140019531856e-147,1.04127890498147e-145
"HLA-DRB1",0.179155836773025,6.64883443517237e-147,1.62049043194495e-145
"RNF19A",0.179115240108524,7.75320499803273e-147,1.88043586586433e-145
"TXN",0.178748999925754,3.09604086150999e-146,7.4725801764212e-145
"MT-ND2",0.178540879404449,6.7910094770145e-146,1.63115454684619e-144
"ATXN1",0.178307356997494,1.63755188502628e-145,3.91437883286091e-144
"ATP2B4",0.177608131770834,2.26778600837921e-144,5.39494355677581e-143
"TYMP",0.177080754973862,1.6343117054678e-143,3.85108900454307e-142
"ADAM19",0.174194252790439,7.24528290299841e-139,1.68334329877141e-137
"REEP5",0.172059281602134,1.7575886335912e-135,4.02706483235734e-134
"GLIPR1",0.170583303329435,3.62391584591015e-133,8.07986976944631e-132
"PLP2",0.169116920851077,6.87918117086102e-131,1.51341985758942e-129
"LCP1",0.169099437490097,7.32109173229561e-131,1.60354484991074e-129
"MT-CO2",0.167991489739166,3.73310247040079e-129,8.10523383529813e-128
"SAMSN1",0.167533623560561,1.8803785943473e-128,4.047291069738e-127
"CD74",0.16728989992517,4.43804307123016e-128,9.51118540955015e-127
"TNFRSF18",0.166970862450022,1.36307005260391e-127,2.89623260749855e-126
"SLAMF1",0.164897385619061,1.8960882290151e-124,3.97778509479456e-123
"CAST",0.163009017896334,1.27240090626908e-121,2.62505282405388e-120
"MT-ATP6",0.162307154010479,1.40134852703207e-120,2.86728595736768e-119
"CD63",0.16207927037209,3.04667045040334e-120,6.20821536041205e-119
"DYNLL1",0.16096824689249,1.32151022365759e-118,2.68185666613287e-117
"IQGAP2",0.159900050747356,4.83127117472201e-117,9.76466678077961e-116
"JPT1",0.15958265358854,1.40079801489823e-116,2.80837408470726e-115
"ARAP2",0.158814187059162,1.82692165952016e-115,3.64797369121857e-114
"MYO1G",0.156575687176422,3.00968996564465e-112,5.93816607507349e-111
"PTPN7",0.156474475294756,4.19601841086253e-112,8.21362344047578e-111
"MT-CYB",0.156362504332245,6.0587129839853e-112,1.18133023358333e-110
"MT-ND4",0.1562010356657,1.02858532135661e-111,1.99770555382229e-110
"CD58",0.155974549426598,2.1589268720039e-111,4.17672545042934e-110
"TENT5C",0.154460289074721,2.98212801342774e-109,5.72476466515935e-108
"HLA-DPA1",0.153136435818008,2.12724925906803e-107,4.03690202904056e-106
"DUSP2",0.153098233461706,2.404647714904e-107,4.54597279030521e-106
"ITGAL",0.151964583542652,9.00385045698498e-106,1.67667207760784e-104
"CD84",0.151620665441681,2.68742082475286e-105,4.98576729129524e-104
"CDC42EP3",0.151283811497136,7.82349231338234e-105,1.44603731532108e-103
"OPTN",0.150950123290335,2.24927945899973e-104,4.1420064704247e-103
"TMX4",0.150555078266667,7.82806415655515e-104,1.42568260023415e-102
"TIGIT",0.149343868481687,3.50767722100023e-102,6.29609066527551e-101
"IKZF3",0.148900233899475,1.40086433821697e-101,2.50543075165999e-100
"EMB",0.148716901275686,2.47954447330861e-101,4.41874377107183e-100
"C12orf75",0.14869811089286,2.62887429179567e-101,4.66812963528859e-100
"DOK2",0.147662702035858,6.51797848837447e-100,1.14919819305666e-98
"PHACTR2",0.147462339348064,1.20993719802385e-99,2.12572711963766e-98
"IFI16",0.146487438368919,2.42390381424817e-98,4.22864904015506e-97
"FAS",0.145889200152861,1.50966179033817e-97,2.60626334081993e-96
"SEC61B",0.145683362242097,2.82760267381855e-97,4.86465069004354e-96
"SSBP4",0.145419692390443,6.30877831018558e-97,1.08162916407733e-95
"LINC01871",0.144954593358333,2.58898191982642e-96,4.40836236485512e-95
"MT-ND1",0.14472596631365,5.17370680609736e-96,8.77940963819661e-95
"ISG15",0.144720133594287,5.26582126697061e-96,8.90532766645506e-95
"RNF213",0.144677728702457,5.98655920216774e-96,1.00898889332807e-94
"APOBEC3C",0.144206762073461,2.48193098952631e-95,4.16897327024487e-94
"CCDC107",0.143898650381889,6.27636037594707e-95,1.05070921849188e-93
"RHOC",0.143532408574704,1.88573114223092e-94,3.13573753818467e-93
"PPP2R5C",0.143240874164324,4.51742661919605e-94,7.48688171688092e-93
"HLA-DPB1",0.143078709721334,7.33821292369854e-94,1.21214600188137e-92
"SLF1",0.141915989861962,2.33914580520269e-92,3.8007297200875e-91
"PHTF2",0.141672912943226,4.80577602226419e-92,7.78316559696989e-91
"IL2RB",0.141394735801154,1.0938125830346e-91,1.7657260268987e-90
"IDS",0.140911556065335,4.54587065122076e-91,7.3145853973688e-90
"IQGAP1",0.14043075658942,1.8666656908811e-90,2.99389090808414e-89
"YWHAH",0.140215486548294,3.50771963833687e-90,5.58986603904197e-89
"LY6E",0.140126437094035,4.55223156205088e-90,7.23121256438242e-89
"IL2RG",0.139725430902247,1.46913004161988e-89,2.32627852450129e-88
"GLIPR2",0.139090920725392,9.3133551015074e-89,1.46075714715125e-87
"HLA-C",0.139037384117926,1.08794209407746e-88,1.69568905697591e-87
"PIEZO1",0.139028482299399,1.11641765903775e-88,1.73463393772991e-87
"GATA3",0.13897346199992,1.30967751654739e-88,2.02857215335627e-87
"CAPG",0.138596252182289,3.9063149683968e-88,6.03173851641891e-87
"SPATS2L",0.137807869076578,3.79663409315947e-87,5.82619281209533e-86
"IFI44",0.137487483159171,9.5299739747492e-87,1.4579394031524e-85
"CAPN2",0.137264904590284,1.80385050705867e-86,2.75114868745267e-85
"RBPJ",0.13726134306446,1.82234604050801e-86,2.77085764935958e-85
"MACF1",0.136943029154226,4.53015257462307e-86,6.86704835397132e-85
"BHLHE40",0.136935642845194,4.62677650830923e-86,6.99219841924423e-85
"CD82",0.136234301718555,3.41388349661635e-85,5.12804493811978e-84
"TGFB1",0.136215703909702,3.59917070081813e-85,5.39008335074329e-84
"MYBL1",0.135803374059856,1.15951470116995e-84,1.73126339165675e-83
"NR3C1",0.134943078372942,1.31587837838122e-83,1.95299919322729e-82
"RESF1",0.134756498254952,2.22380738771217e-83,3.29070545586456e-82
"EFHD2",0.134355635689017,6.84848360801737e-83,1.01040535605526e-81
"FMNL1",0.133922614013437,2.29929592496161e-82,3.38227791091985e-81
"CALM1",0.133470475532272,8.10864843213192e-82,1.18577058836941e-80
"TPM4",0.133379830446307,1.04340455342855e-81,1.52135115532162e-80
"ITGB2",0.13335764386408,1.10979728765414e-81,1.61342459480012e-80
"LYAR",0.133097094903048,2.28833833771923e-81,3.30744715556396e-80
"NABP1",0.132971809292882,3.23903301861006e-81,4.66796294739977e-80
"FTH1",0.132870383683874,4.29008645180194e-81,6.1648294330518e-80
"EML4",0.132043322818737,4.20852484974554e-80,6.01286941176287e-79
"ERN1",0.131935979699764,5.65417172697886e-80,8.05516957780485e-79
"SIT1",0.131642425992419,1.26624850816239e-79,1.79879645216669e-78
"LIMS1",0.131163182851344,4.70362877479589e-79,6.6628040650385e-78
"SAT1",0.1309781632675,7.79623854087418e-79,1.10121869389848e-77
"MYH9",0.129953287458485,1.26391800588807e-77,1.78022672104122e-76
"TIMP1",0.129509525149912,4.19308218610733e-77,5.88926684444227e-76
"SMAD3",0.128373808685773,8.85332539019545e-76,1.2330177546233e-74
"MT-CO3",0.128065771957958,2.0151110169161e-75,2.77538281886616e-74
"ARHGDIA",0.127292767409042,1.5731714742507e-74,2.14884850823475e-73
