"gene","cor","pval","FDR"
"B2M",0.384000211364893,7.72609544624276e-299,9.74918784642559e-297
"CD2",0.348667348886709,3.29748797668357e-243,2.49656478590243e-241
"S100A4",0.34736272874458,2.75316334772946e-241,1.99575053738602e-239
"GZMA",0.296425031381227,3.55283638201214e-173,1.89133024273677e-171
"MAF",0.261554191988224,6.7499429713934e-134,2.87463196294216e-132
"IL32",0.252514434411896,1.23447461894209e-124,5.0672952129346e-123
"HLA-A",0.251363809388784,1.75349221207222e-123,7.11208091253577e-122
"CKLF",0.244797636295718,5.09036191388831e-117,2.01661198146715e-115
"SRGN",0.243895479087828,3.79903089096558e-116,1.48773543051951e-114
"CST7",0.234707276598478,1.84064108040531e-107,6.81637408797924e-106
"TMSB4X",0.224269850186719,4.81197343520351e-98,1.63943934937384e-96
"KLRB1",0.220854689870334,4.58350408633557e-95,1.54613845763815e-93
"CCL5",0.220497268991351,9.33373511628557e-95,3.11765054325342e-93
"CLIC1",0.217895568562208,1.59124371515678e-92,5.26346343450402e-91
"S100A11",0.214415820815022,1.38451728883863e-89,4.49242895530782e-88
"ACTB",0.209972626514031,6.60325173035947e-86,2.04520714957588e-84
"ALOX5AP",0.205299724177955,3.96415439292842e-82,1.16429948419889e-80
"LINC00892",0.202670457680289,4.82663778630827e-80,1.37036291149602e-78
"SH3BGRL3",0.20259432931273,5.54109820016614e-80,1.56020839404678e-78
"HLA-B",0.199777196694173,8.81057800813096e-78,2.44045847753676e-76
"CYTOR",0.199253430861218,2.24197665364235e-77,6.16001166045119e-76
"CRIP1",0.195541830774514,1.55684132084372e-74,4.24332670409164e-73
"LGALS1",0.193748621106944,3.50413092198293e-73,9.47505877079035e-72
"CTSC",0.188055236206122,5.62167000605809e-69,1.49633044614374e-67
"GAPDH",0.186011942657448,1.68444514703088e-67,4.41454201225709e-66
"CXCR3",0.185660109971784,3.01283496194473e-67,7.83567077507306e-66
"ACTN4",0.184158653767194,3.55538690503766e-66,9.17666907989645e-65
"MYL6",0.182828178416535,3.11171073833466e-65,7.97112668083172e-64
"AHNAK",0.182533113879892,5.0228678241231e-65,1.26762301309536e-63
"CD40LG",0.180914548817505,6.84424430917438e-64,1.71458385009979e-62
"MALAT1",0.180819912409996,7.96745945208125e-64,1.98139666811977e-62
"RBPJ",0.168955739133873,7.69036852433315e-56,1.85823301861015e-54
"PFN1",0.16739031167159,7.88683204863136e-55,1.89228428096388e-53
"TNFSF14",0.167187324407425,1.06480126999261e-54,2.53690764116421e-53
"HLA-C",0.166169750586545,4.76750790718668e-54,1.12797912776285e-52
"IFI44",0.163383342859395,2.75210652819088e-52,6.46650133899746e-51
"APOBEC3G",0.161920874380072,2.24732031231347e-51,5.24426048222739e-50
"CD99",0.161869575870574,2.41823921297047e-51,5.60472176774858e-50
"TYMP",0.159719954079196,5.10527464944113e-50,1.17524802234094e-48
"LINC01871",0.158725789461856,2.06223839350462e-49,4.68403080444684e-48
"PTPN7",0.1567694923571,3.13272659103887e-48,7.02184177346674e-47
"HLA-DRB1",0.154105095356335,1.20410857690938e-46,2.66389475424042e-45
"CYBA",0.148106198475172,3.51198212588604e-43,7.43187770366071e-42
"NIBAN1",0.147537799897091,7.35299578843533e-43,1.546398558716e-41
"MYO1F",0.146875048410003,1.73394743224633e-42,3.62426926482407e-41
"CD4",0.146604279480976,2.45896428114483e-42,5.10834835723197e-41
"ARAP2",0.144704907312087,2.79817089825406e-41,5.67462395854262e-40
"IFI27",0.144304518471027,4.65255246676301e-41,9.37943565340922e-40
"SLAMF1",0.144156581449248,5.61202780549349e-41,1.12471639607743e-39
"IFNGR1",0.143598822065744,1.13592862196376e-40,2.26322152925761e-39
"IFI16",0.143516537396172,1.26015757250021e-40,2.49613770320245e-39
"CAPG",0.1431850008716,1.91321482413084e-40,3.76781670856287e-39
"SLF1",0.142671491560465,3.64570994657858e-40,7.09767645028185e-39
"GBP5",0.142350614994421,5.4479227396891e-40,1.04864817932886e-38
"STOM",0.141436795491442,1.70147103930517e-39,3.25669203983861e-38
"MT-CO1",0.141198502232184,2.28696110523675e-39,4.35289189136403e-38
"ANXA2",0.141026320312185,2.83088275262463e-39,5.35823196566229e-38
"GZMK",0.138847277152142,4.11688554826742e-38,7.66460604532628e-37
"PTPN22",0.138575273938464,5.73313178765767e-38,1.05582594597566e-36
"CD52",0.138166930058293,9.41373478720587e-38,1.72433303333389e-36
"TNF",0.13657933015609,6.38115162396185e-37,1.15641402036372e-35
"CD74",0.135821511470289,1.57817833878904e-36,2.84489608479061e-35
"PTPRC",0.135760805440077,1.69652929535327e-36,3.04214489961505e-35
"IFI44L",0.135564610158859,2.14270012217751e-36,3.82208341165382e-35
"ITM2A",0.135478787566713,2.37284848513339e-36,4.18875377660594e-35
"S100A6",0.134831590141156,5.11069452420683e-36,8.9293006379347e-35
"RHOC",0.134138457803487,1.15751500187762e-35,2.01206816908013e-34
"ISG15",0.134008012512296,1.34938458065401e-35,2.32189558903446e-34
"NR3C1",0.132526969947719,7.61634746839622e-35,1.30396461431286e-33
"ANXA1",0.132413091861089,8.69329985541293e-35,1.48090363036959e-33
"SAMSN1",0.131004470954875,4.42070643193008e-34,7.49320736994318e-33
"MXD4",0.130772350506326,5.76952448225931e-34,9.73107421339479e-33
"CCDC107",0.129542905532028,2.34524545983945e-33,3.89768355203562e-32
"RESF1",0.129293769868311,3.11093314792912e-33,5.14512098786142e-32
"IL2RG",0.129069222886993,4.01121825915115e-33,6.60203894151109e-32
"HLA-DPA1",0.128536412809635,7.31843844107552e-33,1.19537855850412e-31
"KLF6",0.128534651990479,7.33296503455714e-33,1.19537855850412e-31
"RNF19A",0.128404802342218,8.48699518614222e-33,1.3769139332946e-31
"SYNE2",0.128188014532884,1.08288026874818e-32,1.74851804531992e-31
"ITGB2",0.127655666412147,1.9664203375717e-32,3.1453493380783e-31
"IKZF3",0.125297863215342,2.67930840890487e-31,4.22611284682356e-30
"DYNLL1",0.124911734476014,4.09014912051437e-31,6.39226516219837e-30
"IL2RB",0.124836061565399,4.44299680661627e-31,6.91200462106924e-30
"SAMD9L",0.124487737931707,6.4984279976204e-31,1.00637019035876e-29
"CTSD",0.124311705514288,7.87195834854996e-31,1.21356389563392e-29
"LCP1",0.124074769551874,1.01854290920238e-30,1.56314220344708e-29
"HOPX",0.12344993459081,2.00459325951741e-30,3.06262297541517e-29
