"gene","cor","pval","FDR"
"MALAT1",0.379258577401095,3.34334193205468e-267,1.44641330335516e-265
"DDX17",0.265983040059198,2.46009730175884e-127,7.81137317558473e-126
"MACF1",0.251006765963319,3.69188442055873e-113,1.10151827409946e-111
"NKTR",0.244507501958321,2.69341715927661e-107,7.76826399021362e-106
"SYNE2",0.23453599492043,1.23329126892443e-98,3.47026104207111e-97
"RNF213",0.221267978294807,9.90561251576206e-88,2.72089880294067e-86
"NEAT1",0.220768131512098,2.47193199549366e-87,6.73650128850674e-86
"AC004687.1",0.220762189232596,2.49891826309693e-87,6.75684070982694e-86
"GOLGA8B",0.21347005542933,1.20187560911455e-81,3.15128142662535e-80
"XIST",0.210218508553171,3.51906738293106e-79,9.15751294159728e-78
"ARAP2",0.205456910272814,1.21436733470467e-75,3.09038628339181e-74
"IFI44L",0.202645053741588,1.35644704068301e-73,3.40192986072747e-72
"OGA",0.193466346647169,4.04075981239932e-67,9.51365286443133e-66
"LENG8",0.193137504577067,6.79880670645913e-67,1.5899101358821e-65
"MYO1F",0.192664657143423,1.43428942530344e-66,3.33159443018471e-65
"AHNAK",0.190922699722619,2.20628471176913e-65,5.05692144863109e-64
"EML4",0.190692280008853,3.16092121427617e-65,7.19733442276963e-64
"IFI44",0.187385127472581,5.23419938611535e-63,1.16125410739392e-61
"N4BP2L2",0.186816298694815,1.24839430884738e-62,2.75203356873935e-61
"PCSK7",0.183369035994977,2.28032194464943e-60,4.96364418266143e-59
"ANKRD36C",0.182408564187832,9.5534528547789e-60,2.06653127064936e-58
"XAF1",0.18182510352305,2.27203594926915e-59,4.88417168970218e-58
"RORA",0.180178279238522,2.57931210529754e-58,5.44329219294805e-57
"GOLGA8A",0.180070995609933,3.01915565145151e-58,6.33290770283253e-57
"MAF",0.17808781381657,5.44732008775967e-57,1.10901028374919e-55
"AKNA",0.17719975829178,1.96776962129706e-56,3.91405210305122e-55
"ANKRD44",0.175141317891294,3.76325229049801e-55,7.27632188682326e-54
"ZNF207",0.172399697053205,1.81125376642203e-53,3.42554605769763e-52
"OGT",0.171785299919837,4.27734267381993e-53,8.00209891572475e-52
"MT-CO2",0.170152100083318,4.13420278914083e-52,7.57062214455894e-51
"NABP1",0.168748981624508,2.8504678142489e-51,5.16516707074106e-50
"TTC14",0.163814835647285,2.21732943294605e-48,3.89552140478492e-47
"ASH1L",0.162618964781687,1.07888407872108e-47,1.87639085248928e-46
"FTX",0.16177178912608,3.28531158503196e-47,5.62894227514635e-46
"RESF1",0.161245837492346,6.5385842109069e-47,1.1093156840171e-45
"LINC00342",0.160168598771202,2.65782117309229e-46,4.44382564254705e-45
"GPRIN3",0.159070513728099,1.0989353156511e-45,1.82856496512906e-44
"MT-ATP6",0.158948850585396,1.28528596532198e-45,2.12840895979874e-44
"KMT2A",0.158593683833033,2.02899094237142e-45,3.3439703102607e-44
"MT-CO1",0.158403071138477,2.59121635351215e-45,4.25033165853344e-44
"ARGLU1",0.155838549443988,6.7564572804575e-44,1.09271489007773e-42
"HNRNPU",0.15423015662354,5.07769384601649e-43,8.06142128489133e-42
"SLFN12L",0.152756369265963,3.16245004844444e-42,4.93028811606585e-41
"ITGAL",0.15175800835687,1.08052874009642e-41,1.6620933197661e-40
"MT-ND1",0.151621506068573,1.27736030437694e-41,1.95616991745513e-40
"PTPRC",0.151200577680434,2.1379577201207e-41,3.259679149488e-40
"MT-CYB",0.148852399163799,3.68156577576629e-40,5.39910980929116e-39
"AC245297.3",0.147652827988479,1.54789300065572e-39,2.25094860305438e-38
"PARP14",0.147392314564632,2.11107532978859e-39,3.04434654849929e-38
"POLR2J3",0.146712912442866,4.72933386266168e-39,6.79179439778925e-38
"TUG1",0.146194500782367,8.72903848907049e-39,1.24325935023346e-37
"UTRN",0.146057701794045,1.02574759400246e-38,1.45496410772234e-37
"ANKRD36",0.144971705269199,3.67224438029458e-38,5.14560234825892e-37
"CFLAR",0.144760385295383,4.70127494617414e-38,6.56093249544705e-37
"RNF19A",0.14461741983492,5.55527586898022e-38,7.72161035443395e-37
"LUC7L3",0.144383420616663,7.29784323583839e-38,1.01031341756947e-36
"MT-ND3",0.144337487898886,7.69892354028824e-38,1.06159260449951e-36
"SAMD9L",0.143684023449589,1.64499920056612e-37,2.25926279093625e-36
"SRSF11",0.143616222147311,1.77946602418184e-37,2.42469760224147e-36
"CD2",0.142057472205592,1.07207829151575e-36,1.44939959645938e-35
"NBEAL2",0.141753779730243,1.51761850139104e-36,2.0358440439203e-35
"MT-ND2",0.141009986727174,3.54345362632286e-36,4.68087519110818e-35
"PTPN7",0.139797932507804,1.39723002193665e-35,1.83174738860711e-34
"PDE7A",0.139776579372361,1.43125709476543e-35,1.86927577546534e-34
"IKZF3",0.139705973623023,1.54973999946701e-35,2.01640982637418e-34
"RBM6",0.139296832212537,2.45506454317755e-35,3.17051432236475e-34
"CELF2",0.138589220397564,5.42256516812798e-35,6.92527603206308e-34
"CD226",0.138415815084539,6.58058879365607e-35,8.33744623793866e-34
"ATF7IP",0.138413095973423,6.6005786454643e-35,8.33744623793866e-34
"PCNX1",0.137863103233382,1.21752183976194e-34,1.52124299184696e-33
"ARHGEF1",0.137630599173116,1.575994095566e-34,1.9550234999118e-33
"TMC8",0.137596206869535,1.63725683073733e-34,2.02376638970782e-33
"SYNE1",0.137520127601936,1.78130814117005e-34,2.19398842583258e-33
"SF3B1",0.136528114331631,5.32553638620198e-34,6.51650144221545e-33
"PNISR",0.135711947338613,1.30326214932918e-33,1.57163425046282e-32
"TRIM56",0.135055482902197,2.66634361033428e-33,3.1931540606806e-32
"PCM1",0.133663070730175,1.20287274452282e-32,1.4306331851524e-31
"MLLT6",0.133536957132535,1.37764950239355e-32,1.62731908798091e-31
"SRRM2",0.132719682562681,3.30813636122196e-32,3.86806079263149e-31
"ANKRD12",0.132296169573735,5.19746464340463e-32,6.0363842720884e-31
"KMT2C",0.131377986173343,1.37712860057974e-31,1.58346913176295e-30
"RBL2",0.131087055359736,1.87255359413417e-31,2.14599602294648e-30
"RBM5",0.130946619155157,2.17144583454063e-31,2.48032146315021e-30
"HNRNPH1",0.130779351064558,2.58976277655798e-31,2.94841084528525e-30
"LCP2",0.130373078186308,3.96898897365052e-31,4.48910811692956e-30
"VPS13C",0.12976190718712,7.52497883373691e-31,8.45582848816995e-30
"CDK13",0.129486026325073,1.00341087310132e-30,1.12025968767861e-29
"ATRX",0.129449600646049,1.04221975853348e-30,1.1598464901236e-29
"FAM118A",0.128419918167105,3.03302423117935e-30,3.33247519495611e-29
"STX16",0.12812508308002,4.11165569277578e-30,4.47498124298648e-29
"ATP2A3",0.127658442660669,6.64547636797158e-30,7.14285518930113e-29
"MBNL1",0.126941769048112,1.38436296388546e-29,1.47879019074308e-28
"SLC20A1",0.126724581501079,1.7277405626274e-29,1.83991079607798e-28
"ZRANB2",0.126376440367705,2.46251300594358e-29,2.61434279557385e-28
"MT-ND5",0.126344480307521,2.54381358548315e-29,2.69239719246397e-28
"GPATCH2L",0.125587785583386,5.47545857031003e-29,5.74259457934637e-28
"BIRC6",0.125211829911055,7.99981204736986e-29,8.33956310118888e-28
"USP34",0.125140524652059,8.59514331069577e-29,8.93327057006548e-28
"TIA1",0.125057579426393,9.34313309148694e-29,9.68161186516057e-28
"FNBP4",0.124438174294728,1.73917643999458e-28,1.79145525560156e-27
"KIAA1109",0.124238082728982,2.12434500511344e-28,2.18170862394588e-27
"SPG7",0.123978112161412,2.75355875365568e-28,2.81954640426104e-27
"HCG18",0.123861579337883,3.09258055008303e-28,3.15735141116147e-27
"DDHD1",0.123844975211993,3.14414178992396e-28,3.20055139262553e-27
"RSRP1",0.123087345318332,6.67005275197975e-28,6.76981013917945e-27
"ADAR",0.12282531127925,8.64217903828736e-28,8.7457841086294e-27
"DDX5",0.122708507032072,9.69817895953817e-28,9.75738295900047e-27
"SPG11",0.122692438126501,9.85312933324658e-28,9.86636133421541e-27
"ACTN4",0.122691370525409,9.86351060860599e-28,9.86636133421541e-27
