"gene","cor","pval","FDR"
"HLA-DPA1",0.430970720394868,0,0
"HLA-DPB1",0.421571078700177,0,0
"HLA-DRB1",0.419778756673857,0,0
"CD74",0.41311501323603,0,0
"HLA-DRA",0.412077680703627,0,0
"HLA-DQA1",0.374045440565306,0,0
"RPS27",0.365420439642665,0,0
"HLA-DMA",0.337914161072405,0,0
"RPL10",0.328939881812548,0,0
"CD81",0.327603435940685,0,0
"RPL15",0.325226667262219,0,0
"RPS2",0.324550952228544,0,0
"HLA-DQB1",0.32348888370696,0,0
"NPC2",0.319857953532304,0,0
"MT-ND6",0.319233561751482,0,0
"FXYD2",0.317505056601882,0,0
"HLA-DRB5",0.312060405934325,0,0
"RPS5",0.311167230712193,0,0
"C1QA",0.305949462412672,0,0
"RPS29",0.304077174159643,0,0
"RPL35",0.301485226455165,0,0
"RPS18",0.298669258744001,0,0
"RPL36A",0.298344259661836,0,0
"RPS19",0.296943170600164,0,0
"RPL3",0.296484521554705,0,0
"CD9",0.292797479245718,0,0
"RPL41",0.288015102255045,0,0
"RPS4X",0.287110146511389,0,0
"RPL10A",0.286782523374556,0,0
"SPP1",0.285397334249792,0,0
"RPL23A",0.282938554095322,0,0
"MT-ATP8",0.282213703592943,0,0
"FCER1G",0.280162905826589,0,0
"FCGR3A",0.27646613910114,0,0
"RPS23",0.27593584744467,0,0
"RPL37A",0.273033574830345,0,0
"CST3",0.271999017151174,0,0
"RPL26",0.266623621059413,0,0
"RPL36",0.26325327359779,0,0
"YBX1",0.262568062443234,0,0
"CD63",0.262392782397534,0,0
"CSF1R",0.262036751784496,0,0
"MSR1",0.257339564199811,0,0
"B2M",0.254722154446047,0,0
"RPL38",0.253583324294268,0,0
"PPIA",0.253234165912037,0,0
"EEF1B2",0.252708481619363,0,0
"RPL18A",0.251478675461325,0,0
"HSPB1",0.249156552601461,0,0
"RHOC",0.246303671835468,0,0
"JUN",0.246102847895827,0,0
"HSPA8",0.245924872560312,0,0
"RPS21",0.245319591278878,0,0
