"gene","cor","pval","FDR"
"S100A4",0.593635486750873,0,0
"CRIP1",0.406524842913227,0,0
"AHNAK",0.396205758218645,0,0
"S100A11",0.38983311004318,0,0
"ANXA1",0.381315665737131,0,0
"S100A10",0.377407627441155,0,0
"SH3BGRL3",0.376877134122388,0,0
"S100A6",0.35697111383758,0,0
"IL32",0.35498422696744,0,0
"B2M",0.347183357452743,0,0
"ITGB1",0.346746208913434,0,0
"ANXA2",0.332666579183705,0,0
"KLRB1",0.329497125403569,0,0
"LGALS1",0.31799753789967,0,0
"MAF",0.310668249225791,0,0
"CLIC1",0.308460093129679,0,0
"CD52",0.286801709328346,0,0
"RORA",0.264338176346005,0,0
"MYO1F",0.264242773769039,0,0
"PRDM1",0.262256094651494,0,0
"TNFRSF4",0.261849691832061,0,0
"EMP3",0.261446637142027,0,0
"KLF6",0.260903818765266,0,0
"CCR6",0.259446320820639,0,0
"CD99",0.250281359388579,7.56801532833861e-313,7.5710425344699e-311
"NIBAN1",0.248757109625059,5.95030932521241e-309,5.7237398547524e-307
"FLNA",0.247904227070765,8.7605763370466e-307,8.26800053545417e-305
"LGALS3",0.244948690627026,2.45698464509506e-299,2.27589577680843e-297
"HLA-A",0.244106888193589,3.11393341741625e-297,2.83198090071202e-295
"TIMP1",0.237671076268618,2.00547195899638e-281,1.67189512314998e-279
"PLP2",0.233527987491417,1.69643497916398e-271,1.39107668291446e-269
"CD2",0.228098669715318,8.80953051472035e-259,6.48018700509282e-257
"SYNE2",0.226015547453438,5.44014944591386e-254,3.67724696330556e-252
"SRGN",0.225351203305016,1.79147724892932e-252,1.19479589321926e-250
"CYBA",0.224587035323886,9.8342315057397e-251,6.47247710417237e-249
"ADAM19",0.22454945860653,1.1970452701376e-250,7.77613044315363e-249
"ALOX5AP",0.222281770081479,1.58808656604039e-245,9.92951125416754e-244
"HOPX",0.220973025345082,1.3529511313943e-242,8.25300190150525e-241
"CAST",0.220580200208783,1.01657344938803e-241,6.05345284980825e-240
"ERN1",0.219161105341267,1.4352327656199e-238,8.34771429491945e-237
"TNFRSF18",0.217986185495176,5.59549461859747e-236,3.1805300093437e-234
"IL10RA",0.215436453422378,2.0793161841201e-230,1.14293841241415e-228
"ACTN4",0.214567995643829,1.58029926313946e-228,8.49963109056299e-227
"GAPDH",0.213426582156568,4.55046151937091e-226,2.42142643828652e-224
"TXN",0.209418278227354,1.51698948026221e-217,7.58798138027158e-216
"CKLF",0.209157526667789,5.36190317632147e-217,2.65546927603564e-215
"BHLHE40",0.205403066671259,3.48512746731253e-209,1.6762122684132e-207
"VIM",0.203821780424404,6.12097286171496e-206,2.88840625040549e-204
"HLA-B",0.203350293735178,5.61033076144962e-205,2.62269854848327e-203
"SEC61B",0.202093391843795,2.00522572206997e-202,9.20196244201285e-201
"ANXA5",0.200562659306158,2.44586802081413e-199,1.11220289455566e-197
"JUND",0.197191802584909,1.24560952935447e-192,5.41785988333135e-191
